,Município,Região,UF,Reg_Metropolitana,Mun_Reg_Geog_Imediata,Mun_Reg_Geog_Intermediária,Tipo_Conc_Urbana,Hierarquia_Urbana,Hier_Urbana_princ_categ,Região_rural,Amazônia_Legal,Semiárido,Cid_Região_São_Paulo,PIB_per_capita,VAB_Indústria/Total,VAB_Serviço/Total,VAB_Adm/Total,VAB_Agricultura/Total,População,Imposto_Prod_Percapita,Capag_real,Capag_predito
1681,Girau do Ponciano,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,8473,0.02859845140358386,0.2529144680328875,0.471702348634727,0.2467787458583875,40588,242.2144476199862,,1
1682,Ibateguara,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,8634,0.02829411364512545,0.208309080875961,0.4629863405120607,0.3004029057593602,15606,157.9520697167756,,1
1683,Igaci,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,7698,0.03288674878841025,0.2470605327881612,0.5123597721069727,0.2076825686740486,25649,184.919490038598,,1
1684,Igreja Nova,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,14378,0.1537902543731356,0.1739330892702841,0.2987258443227861,0.3735477587012345,24408,960.5457227138643,,1
1685,Inhapi,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,6413,0.02904666455673946,0.2742905369764743,0.6032106059007631,0.09344340120265851,18378,223.8001958863859,1,1
1686,Jacaré dos Homens,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,8756,0.04008903777493719,0.2200819852779125,0.5462379336183718,0.1935469652223741,5288,176.2481089258699,1,1
1687,Jacuípe,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,24373,0.02434442637674864,0.1147833539774695,0.1974851332867617,0.663381215988541,7036,162.3081296191018,1,1
1688,Japaratinga,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,19400,0.02981461951895099,0.2858531440987002,0.2246864795496995,0.4596394038346696,8317,474.2094505230252,,1
1689,Jaramataia,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,9470,0.02162068833211833,0.1715842381920731,0.5161339830410927,0.2906227218662472,5597,157.0484187957834,,1
1690,Jequiá da Praia,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,18032,0.05346788828398177,0.1293124222350089,0.2700295568440569,0.5471852146928498,11624,539.3152099105299,,1
1691,Joaquim Gomes,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10928,0.03231490086741016,0.1627517038413878,0.3785741945477076,0.4263553283767039,23903,125.2562439861105,,1
1692,Jundiá,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11111,0.03568843361337164,0.1994560091250082,0.5082585711465485,0.2565531158832174,4175,192.3353293413174,,1
1693,Junqueiro,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,12811,0.06837940421712022,0.2465418378265861,0.3023407846848868,0.3827347208263812,24731,379.1597590069144,,1
1694,Lagoa da Canoa,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,11371,0.03127606130367692,0.199856179057074,0.4017148649930836,0.3671429070806845,17934,205.5871528939445,,1
1695,Limoeiro de Anadia,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,14371,0.05715046536988664,0.16507823793462,0.2994344551241409,0.4783317694199995,28495,533.7427618880506,,1
1696,Maceió,Nordeste,Alagoas,Sim,Polo,Polo,Grande concentração urbana,Núcleo de Capital Regional A,Capital Regional,Região Rural de Capital Regional,Não,Não,Não,22126,0.1584144901732994,0.6476896197272967,0.1846619920647964,0.009233793322297006,1012382,3259.995732836024,0,0
1697,Major Isidoro,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,8857,0.03071000352650758,0.3033266721523451,0.4911896085576584,0.1747619607382156,19891,303.856015283294,1,1
1698,Maragogi,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,19441,0.03623950558319064,0.4312953374896051,0.2309152774319864,0.3015481858229469,32369,1200.809416416942,,1
1699,Maravilha,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,7262,0.03095037846930193,0.2649743864209802,0.6049086321584219,0.09915131126232893,9326,249.9463864464937,1,1
1700,Marechal Deodoro,Nordeste,Alagoas,Sim,do Entorno,do Entorno,Grande concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,37503,0.3799432366212486,0.3675047672368874,0.1818395991086376,0.07071170412088826,51364,9406.140487500974,1,1
1701,Maribondo,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10812,0.03222201119114059,0.4411442429909273,0.3935892004032317,0.1330299355705875,13337,548.3242108420185,,1
1702,Mar Vermelho,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10388,0.03084127687874086,0.2023387275548659,0.5179283972511638,0.2488361782309909,3534,176.5704584040747,,1
1703,Mata Grande,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,8863,0.02511617715532589,0.1987565164200089,0.4694835252120405,0.3066346513772357,25226,179.259494172679,,1
1704,Matriz de Camaragibe,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11668,0.08430110203020975,0.2588618088521098,0.371304758384177,0.2855286707195221,24649,584.1210596778774,,1
1705,Messias,Nordeste,Alagoas,Sim,do Entorno,do Entorno,Grande concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,8870,0.09819992087564289,0.258677304496901,0.4401490175392325,0.202953975998945,17676,290.846345326997,1,1
1706,Minador do Negrão,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,10223,0.02476000826586012,0.2165655351205125,0.5203358944975672,0.2383009900246097,5337,249.2036724751733,,1
1707,Monteirópolis,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,7916,0.05233716615176499,0.2445752518143429,0.631190245507559,0.07186077546021243,7153,268.9780511673424,,1
1708,Murici,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11210,0.04698775894230989,0.2241776407133593,0.3500674613934616,0.3787606051597349,28137,331.9117176671287,1,1
1709,Novo Lino,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10213,0.02602611278770162,0.2104230523752866,0.433697630623035,0.329845324676348,12615,152.7546571541815,,1
1710,Olho d'Água das Flores,Nordeste,Alagoas,Sim,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Não,Sim,Não,9291,0.06098358155294323,0.4443875494351052,0.4430747273579047,0.05153779947051326,21437,727.853710873723,,1
1711,Olho d'Água do Casado,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Não,Sim,Não,7602,0.02979420497593939,0.270590472290073,0.622489724875309,0.07709634483464728,9303,253.1441470493389,1,1
1712,Olho d'Água Grande,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,8945,0.0273520552799433,0.1983965272856131,0.6061525513819985,0.1680545712260808,5117,121.7510259917921,,1
1713,Olivença,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,6820,0.0319452292408573,0.2524211881890695,0.638786317822836,0.0768341239700916,11591,255.2842722802174,,1
1714,Ouro Branco,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,6762,0.02672330000133151,0.2601760249257686,0.6218393406388559,0.09123470433937393,11456,206.965782122905,,1
1715,Palestina,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,7449,0.03477999124343258,0.2167797723292469,0.7144538091068301,0.03393169877408056,4985,118.3550651955868,,1
1716,Palmeira dos Índios,Nordeste,Alagoas,Sim,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Não,Sim,Não,11344,0.08007528974950688,0.4752123970245078,0.3663310428403831,0.07837869196952313,73096,732.6939914632812,0,0
1717,Pão de Açúcar,Nordeste,Alagoas,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Não,Sim,Não,8739,0.0651354615040025,0.2839530218335508,0.5284069882944121,0.1224996591550942,24446,338.2966538493005,,1
1718,Pariconha,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Não,Sim,Não,6971,0.04251427614034598,0.2247741647236223,0.6401016433268643,0.09258199181827066,10527,168.0440771349862,0,0
1719,Paripueira,Nordeste,Alagoas,Sim,do Entorno,do Entorno,Grande concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,12725,0.1783292910621352,0.3418148660467829,0.3282551655263533,0.1515882714173175,13016,340.0430239704979,,1
1720,Passo de Camaragibe,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,15951,0.03557453752268678,0.1531378523735784,0.3030246266047255,0.508254658074829,15232,180.0814075630252,,1
1721,Paulo Jacinto,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,9648,0.03563415044595277,0.23310147529029,0.5236719582655522,0.2075643686542884,7568,225.6871035940803,1,1
1722,Penedo,Nordeste,Alagoas,Sim,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,11781,0.04193765260540321,0.4351349678755078,0.3389823118382411,0.1839422546780237,63516,587.6314629384723,1,1
1723,Piaçabuçu,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,17910,0.02088169275813955,0.1698505394437296,0.2244111458429786,0.5848534290357703,17805,319.9663016006739,,1
1724,Pilar,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,13783,0.1620122047728751,0.3471611592775619,0.392368499727415,0.0984559379561402,35008,789.5338208409507,,1
1725,Pindoba,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,12160,0.02170493865995596,0.1585976150304556,0.5150275958706283,0.3046412536818325,2911,147.0285125386465,0,0
1726,Piranhas,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,9888,0.04451979688580731,0.307648835129983,0.5099195303406043,0.1379076201562157,24891,362.2996263709775,,1
1727,Poço das Trincheiras,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,6439,0.02625322193582793,0.2275353301928718,0.6616189672029152,0.08458137054484045,14354,169.2907900236868,,0
1728,Porto Calvo,Nordeste,Alagoas,Sim,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,12119,0.08757981159021191,0.3017086244548476,0.3657180001152745,0.244990361769848,27079,586.1368588204882,,1
1729,Porto de Pedras,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,25309,0.02494698891979436,0.1879516111808885,0.2173581413323706,0.5697432585669465,7873,330.4966340657945,1,1
1730,Porto Real do Colégio,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,8836,0.02748020763854653,0.2241858306991851,0.4596177826755213,0.2887045790679465,20018,223.5987611149965,,1
1731,Quebrangulo,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,10739,0.04610463403341891,0.224731680626289,0.4417862704659287,0.2873689970116587,11342,265.297125727385,1,1
1732,Rio Largo,Nordeste,Alagoas,Sim,do Entorno,do Entorno,Grande concentração urbana,Integrante de Capital Regional A,Capital Regional,Região Rural de Capital Regional,Não,Não,Não,14045,0.1371203885636604,0.5026851045345181,0.3175726925093911,0.04262068903428516,74838,2172.211977872204,0,0
1733,Roteiro,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,17204,0.01901984794693119,0.168588619805661,0.3198135896329055,0.49256913305084,6680,210.9281437125748,,1
1734,Santa Luzia do Norte,Nordeste,Alagoas,Sim,do Entorno,do Entorno,Grande concentração urbana,Integrante de Capital Regional A,Capital Regional,Região Rural de Capital Regional,Não,Não,Não,18606,0.27183218386554,0.2644823696910305,0.316559732263373,0.1471072240815044,7272,3731.985698569857,,1
1735,Santana do Ipanema,Nordeste,Alagoas,Sim,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Capital Regional,Não,Sim,Não,10724,0.05457764505119454,0.5646181740614334,0.3495648464163822,0.03123720136518771,47486,852.1458956323969,,1
1736,Santana do Mundaú,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,101744,0.01833766714663993,0.08337602987260696,0.04650821744163559,0.8517771689765571,10755,300.511390051139,1,1
1737,São Brás,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,12043,0.06792190717173972,0.1486194835156657,0.3942720349284314,0.3891741708218601,6953,448.0080540773766,,1
1738,São José da Laje,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,12668,0.1497437209864431,0.2067755763611935,0.3176935599678674,0.3257800336966026,23855,874.7013204778873,1,1
1739,São José da Tapera,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,7068,0.05661668465406784,0.2831936439413075,0.586502560334336,0.07368251854233163,32111,287.7207187568123,,1
1740,São Luís do Quitunde,Nordeste,Alagoas,Sim,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,16709,0.2229415373726533,0.2090572163272999,0.1864353318370039,0.3815639911605015,34415,1601.540026151388,,1
1741,São Miguel dos Campos,Nordeste,Alagoas,Sim,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,17123,0.2755231153840055,0.3643272041140997,0.2684037779527809,0.09174378841773122,60775,1558.124228712464,0,0
1742,São Miguel dos Milagres,Nordeste,Alagoas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,18786,0.02920198326962495,0.3218312004875076,0.260054844606947,0.388905046811811,7888,479.3356997971602,,1
1743,São Sebastião,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,12884,0.02615386436544858,0.3043289889555737,0.3320335712679191,0.3374812079027428,34011,465.7904795507336,1,1
1744,Satuba,Nordeste,Alagoas,Sim,do Entorno,do Entorno,Grande concentração urbana,Integrante de Capital Regional A,Capital Regional,Região Rural de Capital Regional,Não,Não,Não,12368,0.1491660573792517,0.4228579641676509,0.3860820007123976,0.04188147953731651,13716,701.7351997666958,,0
1745,Senador Rui Palmeira,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,6349,0.02368162922135551,0.2275911999626326,0.6752300434396749,0.07348545004437386,13818,152.0480532638587,,1
1746,Tanque d'Arca,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,8821,0.02228251779442101,0.1879982902488431,0.5327733278819529,0.2569272798230779,6187,124.4545013738484,0,0
1747,Taquarana,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,12761,0.02832318395809567,0.2207810466442791,0.3288799267316869,0.4220118257628099,19886,242.8341546816856,,1
1748,Teotônio Vilela,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11655,0.0895101244266554,0.2653855237479645,0.3775393934873854,0.2675608149262266,43960,674.818016378526,,1
1749,Traipu,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,7430,0.03768241670032058,0.1807888478394185,0.5483843626446495,0.2331393870499723,27632,172.2640416907933,,1
1750,União dos Palmares,Nordeste,Alagoas,Sim,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,14393,0.0723213536333574,0.2914418724366184,0.3078587055657205,0.3283758302139112,65461,742.6406562686179,1,1
1751,Viçosa,Nordeste,Alagoas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,13185,0.0355787519314914,0.2790842538471075,0.3641847821156748,0.3211491882444368,25773,354.363093159508,1,1
1752,Amparo de São Francisco,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,11686,0.09483976929834613,0.2024368817081089,0.6617012337191093,0.04094572399831939,2368,630.0675675675675,1,1
1753,Aquidabã,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,10753,0.06328448263932135,0.3242689694302597,0.465294787875433,0.1471471471471471,21443,643.4733945809821,1,1
1754,Aracaju,Nordeste,Sergipe,Sim,Polo,Polo,Grande concentração urbana,Núcleo de Capital Regional A,Capital Regional,Região Rural de Capital Regional,Não,Não,Não,26622,0.1420338066422704,0.6587734893844326,0.1989913948661527,0.0002012426684950583,648939,3428.394656508547,0,0
1755,Arauá,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10687,0.04476370144633096,0.2273883809800223,0.511188506747932,0.2166497363711121,10168,521.3414634146342,1,1
1756,Areia Branca,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10275,0.06277507528376187,0.2910501307931773,0.5021893026435477,0.1439798414662395,18396,653.8377908240922,1,1
1757,Barra dos Coqueiros,Nordeste,Sergipe,Sim,do Entorno,do Entorno,Grande concentração urbana,Integrante de Capital Regional A,Capital Regional,Região Rural de Capital Regional,Não,Não,Não,16438,0.1660265930148089,0.4146536784193941,0.4084504597869286,0.01086678947485862,29873,2936.866066347538,1,1
1758,Boquim,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10937,0.05037645448323066,0.3911648815139575,0.4656936196977265,0.0927576447083634,26731,825.8950282443604,0,1
1759,Brejo Grande,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,9182,0.04315070379858414,0.2217034404870121,0.5851582513841831,0.1499738313637991,8264,396.7812197483059,1,1
1760,Campo do Brito,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10975,0.1395807618298145,0.3527087701520533,0.4619597147584988,0.0457399731575458,17997,666.6666666666666,1,1
1761,Canhoba,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,10867,0.05248758009935921,0.2275421796625627,0.5849953200374397,0.1349269205846353,4011,478.6836200448766,1,1
1762,Canindé de São Francisco,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro de zona,Não,Sim,Não,73005,0.8512485947515116,0.05892655720826006,0.08259308285989772,0.007230824034419588,29430,798.1311586816174,1,1
1763,Capela,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11067,0.1623701806800398,0.2973680466638213,0.473028880352824,0.06723004694835681,33904,701.5101462954224,1,1
1764,Carira,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Não,Sim,Não,9961,0.05353902447512466,0.3867397821450411,0.5032837334632575,0.05643248832919863,21724,701.9425520162033,1,1
1765,Carmópolis,Nordeste,Sergipe,Não,do Entorno,do Entorno,Grande concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,24617,0.382444717275248,0.2968561614545254,0.3116110965499165,0.009085265757128471,16324,2413.134035775545,,0
1766,Cedro de São João,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,9240,0.05588377723970944,0.3361937046004843,0.569452784503632,0.03845036319612591,5880,460.2040816326531,0,0
1767,Cristinápolis,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11570,0.05777842777318298,0.2484316059145099,0.4867669900954149,0.2070179331490933,18190,669.3787795492029,1,1
1768,Cumbe,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,9271,0.05294632027305295,0.2256071761022256,0.6046373868156046,0.1167527009111168,3977,357.0530550666331,1,1
1769,Divina Pastora,Nordeste,Sergipe,Não,do Entorno,do Entorno,Grande concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,30179,0.5247106756820147,0.2054118892693682,0.2424025142903094,0.02746151835793791,5059,682.3482901759241,0,0
1770,Estância,Nordeste,Sergipe,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,24677,0.3429485149543531,0.3746661609415596,0.2417816705011162,0.04060223036158159,68804,4253.807918144294,0,0
1771,Feira Nova,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,10308,0.1047624305325531,0.2363549372492731,0.5511942880276766,0.1076699422178058,5567,546.6139752110653,1,1
1772,Frei Paulo,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,14054,0.2016759220973626,0.355309093002685,0.3812068523335724,0.06179766459575314,15283,1553.22907806059,1,1
1773,Gararu,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Não,Sim,Não,8931,0.04438722022616006,0.2084906716607803,0.5690236032936722,0.1780781483781005,11606,466.2243667068758,1,1
1774,General Maynard,Nordeste,Sergipe,Não,do Entorno,do Entorno,Grande concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,9580,0.05883115620239214,0.221094940196428,0.6943048847687271,0.02573660497228615,3307,251.2851527063804,1,1
1775,Gracho Cardoso,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,10474,0.04758348818227602,0.2336627129534758,0.5140232360245212,0.2047131966031641,5811,564.7909137842023,1,1
1776,Ilha das Flores,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,8448,0.04223541477083965,0.243012523291589,0.6284612384625384,0.08626193468243995,8519,321.5166099307431,0,1
1777,Indiaroba,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10378,0.03873050640564929,0.2113579063851147,0.5082936901787649,0.241612192979454,17761,507.5164686673048,0,0
1778,Itabaiana,Nordeste,Sergipe,Não,Polo,Polo,,Centro Subregional B,Centro Subregional,Região Rural de Capital Regional,Não,Não,Não,19020,0.07420802977748002,0.6017772986312604,0.2635840911718177,0.06042930307386826,94696,2485.965616287911,1,1
1779,Itabaianinha,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10278,0.06928740533857881,0.352663533392395,0.4722535049126337,0.1057905511259266,41684,692.1360713943,0,0
1780,Itabi,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Não,Sim,Não,10881,0.07150675662228591,0.2707226302067785,0.534857802455868,0.122873007343722,4921,670.5954074375127,,1
1781,Itaporanga d'Ajuda,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,26581,0.4420508502632186,0.2808156062108903,0.2242721572195148,0.05285877953633381,33994,4011.619697593693,1,1
1782,Japaratuba,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,21171,0.3959165240540027,0.2308450064439796,0.2814170416851535,0.09181614586634552,18576,787.3600344530577,1,1
1783,Japoatã,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,12407,0.04612640163098879,0.25067957866123,0.4204304869442484,0.2827504639431245,13085,712.0366832250669,0,1
1784,Lagarto,Nordeste,Sergipe,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,14239,0.1429147391766823,0.445732123862612,0.3622118902866982,0.04913968700578013,103576,1859.079323395381,1,1
1785,Laranjeiras,Nordeste,Sergipe,Não,do Entorno,do Entorno,Grande concentração urbana,Integrante de Capital Regional A,Capital Regional,Região Rural de Capital Regional,Não,Não,Não,29166,0.4149127675421065,0.3167586391333979,0.2326750040977832,0.03565071358939925,29567,5643.453850576656,1,1
1786,Macambira,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,9345,0.05265404633293382,0.2917070287487481,0.5794736237214113,0.07613246424877272,6877,488.7305511124036,,1
1787,Malhada dos Bois,Nordeste,Sergipe,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11663,0.05358807082945014,0.3385245499583068,0.5729141119340756,0.03494874184529357,3665,538.06275579809,1,1
