,Município,PIB_per_capita,População,Capag_real,Capag_predito
4196,Primeiro de Maio,26990,11114,0,0
4197,Prudentópolis,23031,51961,0,0
4198,Quarto Centenário,50420,4560,1,1
4199,Quatiguá,23984,7420,1,1
4200,Quatro Barras,66795,23199,0,0
4201,Quatro Pontes,44283,4000,0,0
4202,Quedas do Iguaçu,35360,33788,0,0
4203,Querência do Norte,19477,12180,1,1
4204,Quinta do Sol,37372,4640,0,0
4205,Quitandinha,20763,18873,0,0
4206,Ramilândia,18590,4426,0,0
4207,Rancho Alegre,31406,3832,,0
4208,Rancho Alegre D'Oeste,52567,2682,0,0
4209,Realeza,35674,16894,0,0
4210,Rebouças,25556,14851,1,0
4211,Renascença,37485,6818,0,0
4212,Reserva,23196,26602,0,0
4213,Reserva do Iguaçu,19844,7950,1,1
4214,Ribeirão Claro,43864,10693,1,1
4215,Ribeirão do Pinhal,17801,13112,,0
4216,Rio Azul,40165,15134,0,0
4217,Rio Bom,21667,3225,1,1
4218,Rio Bonito do Iguaçu,21735,13283,0,0
4219,Rio Branco do Ivaí,19602,4083,1,1
4220,Rio Branco do Sul,34623,32273,1,1
4221,Rio Negro,36241,33922,0,0
4222,Rolândia,40410,65757,0,0
4223,Roncador,42915,10058,0,0
4224,Rondon,27777,9534,1,1
4225,Rosário do Ivaí,17630,4886,1,1
4226,Sabáudia,84156,6760,0,0
4227,Salgado Filho,24589,3679,,0
4228,Salto do Itararé,17862,4973,1,1
4229,Salto do Lontra,25292,14695,0,0
4230,Santa Amélia,22210,3385,,0
4231,Santa Cecília do Pavão,33266,3376,0,0
4232,Santa Cruz de Monte Castelo,33465,7849,1,1
4233,Santa Fé,22753,11885,0,0
4234,Santa Helena,35652,26206,0,0
4235,Santa Inês,25287,1624,1,1
4236,Santa Isabel do Ivaí,22904,8603,0,0
4237,Santa Izabel do Oeste,22155,14521,0,0
4238,Santa Lúcia,28147,3834,,0
4239,Santa Maria do Oeste,18031,9824,1,1
4240,Santa Mariana,28615,11829,0,0
4241,Santa Mônica,22625,3944,0,0
4242,Santana do Itararé,19137,5031,0,1
4243,Santa Tereza do Oeste,36647,10182,,0
4244,Santa Terezinha de Itaipu,22533,23224,0,0
4245,Santo Antônio da Platina,26464,45728,0,0
4246,Santo Antônio do Caiuá,18423,2656,1,1
4247,Santo Antônio do Paraíso,40835,2144,0,0
4248,Santo Antônio do Sudoeste,25232,20069,0,0
4249,Santo Inácio,53762,5431,1,1
4250,São Carlos do Ivaí,45033,6834,0,0
4251,São Jerônimo da Serra,20351,11213,,0
4252,São João,71759,10303,,0
4253,São João do Caiuá,21383,5874,0,0
4254,São João do Ivaí,27109,10386,0,0
4255,São João do Triunfo,36354,14996,1,1
4256,São Jorge d'Oeste,31106,9074,0,0
4257,São Jorge do Ivaí,49974,5559,,0
4258,São Jorge do Patrocínio,20301,5698,0,0
4259,São José da Boa Vista,23179,6254,0,0
4260,São José das Palmeiras,20465,3682,0,0
4261,São José dos Pinhais,75926,317476,0,0
4262,São Manoel do Paraná,23363,2158,1,1
4263,São Mateus do Sul,27418,45806,0,0
4264,São Miguel do Iguaçu,36719,27325,0,0
4265,São Pedro do Iguaçu,27928,5976,,0
4266,São Pedro do Ivaí,27079,10915,0,0
4267,São Pedro do Paraná,28116,2338,1,1
4268,São Sebastião da Amoreira,22135,8847,0,0
4269,São Tomé,24275,5693,0,0
4270,Sapopema,15953,6751,0,0
4271,Sarandi,16617,95543,0,0
4272,Saudade do Iguaçu,145266,5459,0,0
4273,Sengés,23760,19267,0,0
4274,Serranópolis do Iguaçu,43091,4513,0,0
4275,Sertaneja,53374,5355,1,1
4276,Sertanópolis,42088,16323,0,0
4277,Siqueira Campos,26060,20778,0,0
4278,Sulina,30707,3033,0,0
4279,Tamarana,20888,14548,0,0
4280,Tamboara,24630,5080,1,1
4281,Tapejara,28146,16062,0,0
4282,Tapira,23109,5584,1,1
4283,Teixeira Soares,31212,12163,0,0
4284,Telêmaco Borba,43918,78135,0,0
4285,Terra Boa,28607,16984,,0
4286,Terra Rica,20956,16652,0,0
4287,Terra Roxa,38866,17439,0,0
4288,Tibagi,43874,20436,0,0
4289,Tijucas do Sul,19517,16646,0,0
4290,Toledo,44448,138572,0,0
4291,Tomazina,24895,8032,0,0
4292,Três Barras do Paraná,26456,12043,0,0
4293,Tunas do Paraná,12947,8509,0,0
4294,Tuneiras do Oeste,23395,8599,1,0
4295,Tupãssi,42171,8128,0,0
4296,Turvo,33150,13340,0,0
4297,Ubiratã,44835,21119,,0
4298,Umuarama,30659,110590,0,0
4299,União da Vitória,27678,57111,1,0
4300,Uniflor,24953,2595,,0
4301,Uraí,25004,11356,1,1
4302,Wenceslau Braz,28652,19444,1,0
4303,Ventania,19565,11703,1,1
4304,Vera Cruz do Oeste,29918,8590,0,0
4305,Verê,39915,7342,1,1
4306,Alto Paraíso,34432,2799,0,0
4307,Doutor Ulysses,11111,5609,0,0
4308,Virmond,31730,4023,0,0
4309,Vitorino,52876,6817,0,0
4310,Xambrê,16608,5728,0,0
4311,Abdon Batista,24517,2577,,0
4312,Abelardo Luz,39108,17847,0,0
4313,Agrolândia,23224,10711,0,0
4314,Agronômica,29394,5385,1,0
4315,Água Doce,43501,7138,0,0
4316,Águas de Chapecó,16043,6455,0,0
4317,Águas Frias,41531,2378,,0
4318,Águas Mornas,25790,6378,0,0
4319,Alfredo Wagner,25993,9984,1,1
4320,Alto Bela Vista,28701,1948,0,0
4321,Anchieta,23510,5721,0,0
4322,Angelina,23064,4860,,0
4323,Anita Garibaldi,19958,7313,,0
4324,Anitápolis,17638,3236,0,0
4325,Antônio Carlos,78006,8411,0,0
4326,Apiúna,39068,10636,0,0
4327,Arabutã,32258,4266,0,0
4328,Araquari,113080,36710,0,0
4329,Araranguá,27132,67578,0,0
4330,Armazém,22211,8587,,0
4331,Arroio Trinta,25153,3551,0,0
4332,Arvoredo,44685,2246,,0
4333,Ascurra,24968,7889,0,0
4334,Atalanta,30763,3226,0,0
4335,Aurora,37057,5676,1,0
4336,Balneário Arroio do Silva,13503,12705,0,0
4337,Balneário Camboriú,40002,138732,0,0
4338,Balneário Barra do Sul,17626,10550,0,0
4339,Balneário Gaivota,14239,10692,1,1
4340,Bandeirante,22591,2708,1,0
4341,Barra Bonita,20724,1704,0,0
4342,Barra Velha,48950,28463,1,1
4343,Bela Vista do Toldo,23763,6311,0,0
4344,Belmonte,19145,2703,0,0
4345,Benedito Novo,26235,11526,0,0
4346,Biguaçu,27639,67458,0,0
4347,Blumenau,48115,352460,0,0
4348,Bocaina do Sul,22504,3460,0,0
4349,Bombinhas,34165,19193,0,0
4350,Bom Jardim da Serra,21180,4712,0,0
4351,Bom Jesus,34011,2961,,0
4352,Bom Jesus do Oeste,24627,2146,0,0
4353,Bom Retiro,27619,9870,1,0
4354,Botuverá,62153,5169,0,0
4355,Braço do Norte,35572,33016,0,0
4356,Braço do Trombudo,41870,3718,0,0
4357,Brunópolis,32851,2473,1,1
4358,Brusque,48408,131703,0,0
4359,Caçador,42367,77863,0,0
4360,Caibi,33662,6167,1,0
4361,Calmon,20889,3357,1,0
4362,Camboriú,18570,80834,0,0
4363,Capão Alto,46324,2556,,0
4364,Campo Alegre,41005,11974,1,1
4365,Campo Belo do Sul,32221,7081,0,0
4366,Campo Erê,34014,8636,0,0
4367,Campos Novos,54233,35930,0,0
4368,Canelinha,15724,12080,,0
4369,Canoinhas,31334,54319,0,0
4370,Capinzal,36806,22658,0,0
4371,Capivari de Baixo,31917,24559,,0
4372,Catanduvas,37883,10735,0,0
4373,Caxambu do Sul,31933,3735,0,0
4374,Celso Ramos,20150,2738,,0
4375,Cerro Negro,25463,3181,0,0
4376,Chapadão do Lageado,28031,2969,,0
4377,Chapecó,44321,216654,0,0
4378,Cocal do Sul,39615,16544,0,0
4379,Concórdia,45197,74106,0,0
4380,Cordilheira Alta,58610,4385,0,0
4381,Coronel Freitas,26940,10022,0,0
4382,Coronel Martins,19657,2544,0,0
4383,Corupá,28160,15709,0,0
4384,Correia Pinto,44370,13040,1,1
4385,Criciúma,36073,213023,0,0
4386,Cunha Porã,48327,11053,0,0
4387,Cunhataí,26238,1957,0,0
4388,Curitibanos,35989,39595,0,0
4389,Descanso,26100,8308,0,0
4390,Dionísio Cerqueira,25541,15450,0,0
4391,Dona Emma,27871,4105,0,0
4392,Doutor Pedrinho,28437,4013,0,0
4393,Entre Rios,15045,3189,,0
4394,Ermo,40662,2066,0,0
4395,Erval Velho,31785,4407,0,0
4396,Faxinal dos Guedes,41236,10686,0,0
4397,Flor do Sertão,25657,1586,,0
4398,Florianópolis,42719,492977,0,0
4399,Formosa do Sul,21914,2525,0,0
4400,Forquilhinha,32261,26368,,0
4401,Fraiburgo,25498,36299,0,0
4402,Frei Rogério,23743,2077,0,0
4403,Galvão,25565,2956,0,0
4404,Garopaba,25916,22568,0,0
4405,Garuva,60183,17800,0,0
4406,Gaspar,43487,68465,0,0
4407,Governador Celso Ramos,22084,14333,0,0
4408,Grão Pará,33450,6542,1,1
4409,Gravatal,21076,11423,0,0
4410,Guabiruba,41994,23272,,0
4411,Guaraciaba,34131,10154,0,0
4412,Guaramirim,38693,43822,0,0
4413,Guarujá do Sul,29911,5141,0,0
4414,Guatambú,48042,4710,0,0
4415,Herval d'Oeste,21180,22495,0,0
4416,Ibiam,27289,1959,,0
4417,Ibicaré,30855,3227,0,0
4418,Ibirama,23619,18802,0,0
4419,Içara,42042,55581,1,0
4420,Ilhota,50605,14005,0,0
4421,Imaruí,19014,10326,1,1
4422,Imbituba,39926,44412,,0
4423,Imbuia,29003,6153,0,0
4424,Indaial,38127,67923,0,0
4425,Iomerê,42639,2927,0,0
4426,Ipira,18877,4486,0,0
4427,Iporã do Oeste,28456,8945,0,0
4428,Ipuaçu,29965,7448,0,0
4429,Ipumirim,43914,7565,0,0
4430,Iraceminha,24441,4015,0,0
4431,Irani,23059,10339,0,0
4432,Irati,19057,1952,0,0
4433,Irineópolis,31142,11155,0,0
4434,Itá,42687,6209,0,0
4435,Itaiópolis,34769,21556,0,0
4436,Itajaí,117712,215895,0,0
4437,Itapema,29597,63250,0,0
4438,Itapiranga,46220,16736,0,0
4439,Itapoá,39735,19963,0,0
4440,Ituporanga,37632,24812,1,0
4441,Jaborá,32091,3955,0,0
4442,Jacinto Machado,31700,10457,0,0
4443,Jaguaruna,23787,19755,1,1
4444,Jaraguá do Sul,51652,174158,0,0
4445,Jardinópolis,24954,1595,0,0
4446,Joaçaba,64675,29827,0,0
4447,Joinville,52792,583144,0,0
4448,José Boiteux,20508,4985,0,0
4449,Jupiá,26913,2110,0,0
4450,Lacerdópolis,41062,2245,0,0
4451,Lages,32355,157743,0,0
4452,Laguna,19791,45500,1,1
4453,Lajeado Grande,28778,1437,1,0
4454,Laurentino,38934,6875,0,0
4455,Lauro Müller,24646,15174,0,0
4456,Lebon Régis,20402,12099,0,0
4457,Leoberto Leal,30480,3083,,0
4458,Lindóia do Sul,23420,4580,0,0
4459,Lontras,26977,11942,0,0
4460,Luiz Alves,46083,12609,0,0
4461,Luzerna,30042,5686,0,0
4462,Macieira,27298,1784,0,0
4463,Mafra,34993,56017,0,0
4464,Major Gercino,14383,3430,0,0
4465,Major Vieira,26205,8048,0,0
4466,Maracajá,27385,7207,1,1
4467,Maravilha,50727,25403,0,0
4468,Marema,31240,1846,0,0
4469,Massaranduba,32809,16704,0,0
4470,Matos Costa,20235,2560,0,0
4471,Meleiro,34105,7028,,0
4472,Mirim Doce,22672,2336,0,0
4473,Modelo,27394,4200,0,0
4474,Mondaí,56640,11592,0,0
4475,Monte Carlo,16172,9824,0,0
4476,Monte Castelo,21278,8280,0,0
4477,Morro da Fumaça,36437,17642,0,0
4478,Morro Grande,36160,2898,,0
4479,Navegantes,48187,79285,0,0
4480,Nova Erechim,33144,4945,0,0
4481,Nova Itaberaba,24742,4333,0,0
4482,Nova Trento,41341,14312,1,1
4483,Nova Veneza,48411,14987,,0
4484,Novo Horizonte,36844,2481,0,0
4485,Orleans,39817,22785,0,0
4486,Otacílio Costa,40840,18510,1,1
4487,Ouro,22712,7317,0,0
4488,Ouro Verde,39123,2227,0,0
4489,Paial,26723,1537,0,0
4490,Painel,20034,2363,0,0
4491,Palhoça,32626,168259,0,0
4492,Palma Sola,30088,7475,,0
4493,Palmeira,39215,2603,0,0
4494,Palmitos,38378,16182,0,0
4495,Papanduva,31184,19218,0,0
4496,Paraíso,28734,3515,0,0
4497,Passo de Torres,19144,8594,,0
4498,Passos Maia,33066,4186,0,0
4499,Paulo Lopes,25654,7418,0,0
4500,Pedras Grandes,33180,4000,1,0
4501,Penha,23419,31764,1,1
4502,Peritiba,30218,2814,0,0
4503,Pescaria Brava,10010,10022,1,0
4504,Petrolândia,29089,5971,,0
4505,Balneário Piçarras,41741,22511,0,0
4506,Pinhalzinho,56398,19906,0,0
4507,Pinheiro Preto,45988,3513,0,0
4508,Piratuba,155119,3965,0,0
4509,Planalto Alegre,33286,2850,0,0
4510,Pomerode,61648,32874,0,0
4511,Ponte Alta,24218,4714,1,1
4512,Ponte Alta do Norte,33833,3408,0,0
4513,Ponte Serrada,19642,11552,0,0
4514,Porto Belo,56537,20834,0,0
4515,Porto União,21427,35250,0,0
4516,Pouso Redondo,28157,17189,0,0
4517,Praia Grande,21879,7326,,0
4518,Presidente Castello Branco,28902,1590,0,0
4519,Presidente Getúlio,41362,17215,0,0
4520,Presidente Nereu,23049,2290,,0
4521,Princesa,24547,2911,0,0
4522,Quilombo,35457,9946,1,0
4523,Rancho Queimado,40998,2868,0,0
4524,Rio das Antas,30774,6208,0,0
4525,Rio do Campo,24848,5979,0,0
4526,Rio do Oeste,24874,7456,0,0
4527,Rio dos Cedros,28748,11542,0,0
4528,Rio do Sul,38796,70100,0,0
4529,Rio Fortuna,51792,4601,0,0
4530,Rio Negrinho,27502,42106,1,1
4531,Rio Rufino,19550,2482,1,0
4532,Riqueza,24433,4636,0,0
4533,Rodeio,24814,11502,0,0
4534,Romelândia,17303,4890,0,0
4535,Salete,25910,7626,0,0
4536,Saltinho,18466,3808,0,0
4537,Salto Veloso,36676,4680,0,0
4538,Sangão,25663,12446,0,0
4539,Santa Cecília,28120,16741,1,0
4540,Santa Helena,31185,2247,0,0
4541,Santa Rosa de Lima,23709,2137,1,1
4542,Santa Rosa do Sul,15931,8338,0,0
4543,Santa Terezinha,20603,8801,,0
4544,Santa Terezinha do Progresso,21080,2484,0,0
4545,Santiago do Sul,26321,1286,0,0
4546,Santo Amaro da Imperatriz,37065,22905,,0
4547,São Bernardino,26708,2386,0,0
4548,São Bento do Sul,38266,83576,0,0
4549,São Bonifácio,24962,2862,0,0
4550,São Carlos,37942,11191,0,0
4551,São Cristóvão do Sul,28867,5499,,0
4552,São Domingos,34612,9457,,0
4553,São Francisco do Sul,80165,51677,0,0
4554,São João do Oeste,34777,6359,0,0
4555,São João Batista,24798,36244,0,0
4556,São João do Itaperiú,45959,3707,0,0
4557,São João do Sul,26468,7280,,0
4558,São Joaquim,27919,26763,0,0
4559,São José,43665,242927,0,0
4560,São José do Cedro,29589,13838,0,0
4561,São José do Cerrito,29609,8421,0,0
4562,São Lourenço do Oeste,40274,23857,0,0
4563,São Ludgero,48336,13165,0,0
4564,São Martinho,25501,3189,1,0
4565,São Miguel da Boa Vista,19990,1833,0,0
4566,São Miguel do Oeste,37963,40090,0,0
4567,São Pedro de Alcântara,14164,5709,0,0
4568,Saudades,33257,9679,0,0
4569,Schroeder,24106,20728,0,0
4570,Seara,45693,17506,0,0
4571,Serra Alta,24864,3270,1,0
4572,Siderópolis,33528,13920,1,1
4573,Sombrio,26167,30010,0,0
4574,Sul Brasil,22554,2500,0,0
4575,Taió,32781,18302,0,0
4576,Tangará,47114,8691,0,0
4577,Tigrinhos,25690,1646,0,0
4578,Tijucas,40901,37645,1,1
4579,Timbé do Sul,24069,5354,1,1
4580,Timbó,42748,43484,0,0
4581,Timbó Grande,25259,7812,0,0
4582,Três Barras,58050,19183,0,0
4583,Treviso,52568,3891,1,1
4584,Treze de Maio,20863,7070,,0
4585,Treze Tílias,79760,7687,0,0
4586,Trombudo Central,34907,7284,0,0
4587,Tubarão,35655,104937,1,1
4588,Tunápolis,27234,4561,0,0
4589,Turvo,42026,12806,,0
4590,União do Oeste,23654,2517,0,0
4591,Urubici,22372,11195,0,0
4592,Urupema,22118,2472,0,0
4593,Urussanga,39438,21190,0,0
4594,Vargeão,36899,3575,0,0
4595,Vargem,24351,2522,,0
4596,Vargem Bonita,86539,4534,0,0
4597,Vidal Ramos,45291,6347,,0
4598,Videira,46236,52510,0,0
4599,Vitor Meireles,23643,5014,0,0
4600,Witmarsum,32866,3932,0,0
4601,Xanxerê,33864,50309,0,0
4602,Xavantina,54550,3963,0,0
4603,Xaxim,33345,28424,0,0
4604,Zortéa,21389,3328,1,0
4605,Balneário Rincão,17926,12570,0,0
4606,Aceguá,51069,4858,0,0
4607,Água Santa,88151,3753,0,0
4608,Agudo,30258,16524,0,0
4609,Ajuricaba,42299,7063,0,0
4610,Alecrim,18159,6077,1,1
4611,Alegrete,29467,74173,0,0
4612,Alegria,31929,3559,0,0
4613,Almirante Tamandaré do Sul,83157,1979,0,0
4614,Alpestre,76014,6458,0,0
4615,Alto Alegre,40017,1663,0,0
4616,Alto Feliz,31143,3020,0,0
4617,Alvorada,12914,209213,0,0
4618,Amaral Ferrador,14085,6974,1,1
4619,Ametista do Sul,16218,7416,1,1
4620,André da Rocha,83234,1324,0,0
4621,Anta Gorda,35792,6003,0,0
4622,Antônio Prado,46929,13055,0,0
4623,Arambaré,33616,3600,1,0
4624,Araricá,28896,5622,1,1
4625,Aratiba,127640,6283,0,0
4626,Arroio do Meio,59080,20637,0,0
4627,Arroio do Sal,22719,9842,0,1
4628,Arroio do Padre,15583,2921,0,0
4629,Arroio dos Ratos,18526,14123,,0
4630,Arroio do Tigre,25173,13332,1,1
4631,Arroio Grande,29608,18351,0,0
4632,Arvorezinha,23846,10425,0,0
4633,Augusto Pestana,50680,6706,0,0
4634,Áurea,30231,3573,1,0
4635,Bagé,24620,120943,,0
4636,Balneário Pinhal,15745,13760,,1
4637,Barão,34635,6139,0,0
4638,Barão de Cotegipe,32944,6627,,0
4639,Barão do Triunfo,14899,7454,,1
4640,Barracão,41223,5295,0,0
4641,Barra do Guarita,12980,3238,0,0
4642,Barra do Quaraí,41512,4202,0,0
4643,Barra do Ribeiro,23808,13423,0,0
4644,Barra do Rio Azul,28324,1726,0,0
4645,Barra Funda,51934,2527,0,0
4646,Barros Cassal,18267,11216,1,1
4647,Benjamin Constant do Sul,15705,2031,1,1
4648,Bento Gonçalves,50090,119049,0,0
4649,Boa Vista das Missões,74115,2104,0,0
4650,Boa Vista do Buricá,31944,6712,0,0
4651,Boa Vista do Cadeado,111358,2473,0,0
4652,Boa Vista do Incra,78059,2590,0,0
4653,Boa Vista do Sul,32609,2788,0,0
4654,Bom Jesus,29455,11391,0,0
4655,Bom Princípio,47015,13846,0,0
4656,Bom Progresso,26576,1987,1,1
4657,Bom Retiro do Sul,24714,12265,0,0
4658,Boqueirão do Leão,17035,7726,0,0
4659,Bossoroca,51819,6356,0,0
4660,Bozano,72960,2135,0,0
4661,Braga,25280,3397,0,0
4662,Brochier,16588,5043,,0
4663,Butiá,21264,20929,1,1
4664,Caçapava do Sul,24228,33702,1,1
4665,Cacequi,26938,12705,,0
4666,Cachoeira do Sul,28528,82547,1,1
4667,Cachoeirinha,40778,129307,0,0
4668,Cacique Doble,22514,5055,0,0
4669,Caibaté,36721,4856,,0
4670,Caiçara,21186,4788,,0
4671,Camaquã,30465,66034,0,0
4672,Camargo,60853,2724,0,0
4673,Cambará do Sul,28008,6456,0,0
4674,Campestre da Serra,50780,3380,0,0
4675,Campina das Missões,27450,5553,0,0
4676,Campinas do Sul,40461,5471,0,0
4677,Campo Bom,47163,66156,0,0
4678,Campo Novo,45569,4596,0,0
4679,Campos Borges,29714,3345,0,0
4680,Candelária,26579,31306,0,0
4681,Cândido Godói,38102,6246,1,0
4682,Candiota,66192,9519,0,0
4683,Canela,25378,44489,1,1
4684,Canguçu,19932,55871,0,0
4685,Canoas,55594,344957,0,0
4686,Canudos do Vale,25040,1729,0,0
4687,Capão Bonito do Sul,118271,1668,0,0
4688,Capão da Canoa,27586,52004,0,0
4689,Capão do Cipó,89491,3602,0,0
4690,Capão do Leão,20071,25297,1,1
4691,Capivari do Sul,45334,4589,0,0
4692,Capela de Santana,17164,11810,1,1
4693,Capitão,23671,2750,0,0
4694,Carazinho,48591,61949,0,0
4695,Caraá,13451,8187,1,1
4696,Carlos Barbosa,85997,29409,0,0
4697,Carlos Gomes,27714,1404,0,0
4698,Casca,48621,9010,0,0
4699,Caseiros,42539,3189,0,0
4700,Catuípe,43987,8851,0,0
4701,Caxias do Sul,48959,504069,0,0
4702,Centenário,25470,2905,1,1
4703,Cerrito,15278,6136,0,1
4704,Cerro Branco,15482,4676,1,1
4705,Cerro Grande,24152,2327,1,1
4706,Cerro Grande do Sul,13284,12058,0,0
4707,Cerro Largo,52173,14074,1,1
4708,Chapada,50329,9300,0,0
4709,Charqueadas,42460,40301,0,0
4710,Charrua,27751,3306,0,0
4711,Chiapetta,56408,3794,1,1
4712,Chuí,57139,6635,0,0
4713,Chuvisca,18909,5401,1,1
4714,Cidreira,17575,15912,1,1
4715,Ciríaco,31167,4775,0,0
4716,Colinas,24097,2442,0,0
4717,Colorado,65388,3221,0,0
4718,Condor,57445,6746,1,1
4719,Constantina,30642,9915,1,0
4720,Coqueiro Baixo,22487,1507,0,0
4721,Coqueiros do Sul,52168,2327,,0
4722,Coronel Barros,48213,2518,0,0
4723,Coronel Bicaco,40506,7385,0,0
4724,Coronel Pilar,24110,1641,0,0
4725,Cotiporã,40870,3868,0,0
4726,Coxilha,79144,2769,0,0
4727,Crissiumal,25509,13544,0,0
4728,Cristal,22553,7950,0,0
4729,Cristal do Sul,20636,2851,0,0
4730,Cruz Alta,65065,60693,1,1
4731,Cruzaltense,45673,1870,0,0
4732,Cruzeiro do Sul,29050,12290,0,0
4733,David Canabarro,31003,4744,0,0
4734,Derrubadas,28789,2852,0,0
4735,Dezesseis de Novembro,15928,2478,,0
4736,Dilermando de Aguiar,47554,3026,0,0
4737,Dois Irmãos,62157,32205,0,0
4738,Dois Irmãos das Missões,56332,2044,0,0
4739,Dois Lajeados,28422,3394,0,0
4740,Dom Feliciano,15501,15338,0,0
4741,Dom Pedro de Alcântara,21488,2541,0,0
4742,Dom Pedrito,34347,38589,0,0
4743,Dona Francisca,24391,3086,0,0
4744,Doutor Maurício Cardoso,42284,4639,,0
4745,Doutor Ricardo,26187,1994,0,0
4746,Eldorado do Sul,39551,40643,0,0
4747,Encantado,39380,22520,,0
4748,Encruzilhada do Sul,20766,25791,0,0
4749,Engenho Velho,45607,1088,,0
4750,Entre-Ijuís,47488,8542,0,0
4751,Entre Rios do Sul,68317,2829,,0
4752,Erebango,36857,2995,,0
4753,Erechim,47080,105059,0,0
4754,Ernestina,45663,3167,0,0
4755,Herval,19618,6828,0,0
4756,Erval Grande,19210,4902,0,0
4757,Erval Seco,32927,7040,1,1
4758,Esmeralda,65767,3277,0,0
4759,Esperança do Sul,24151,2969,0,0
4760,Espumoso,49684,15584,1,0
4761,Estação,60033,5976,0,0
4762,Estância Velha,29630,49345,0,0
4763,Esteio,38249,83121,0,0
4764,Estrela,43585,33820,0,0
4765,Estrela Velha,35090,3660,0,0
4766,Eugênio de Castro,84768,2458,0,0
4767,Fagundes Varela,28469,2721,0,0
4768,Farroupilha,47878,71570,0,0
4769,Faxinal do Soturno,30334,6690,0,0
4770,Faxinalzinho,28025,2346,0,0
4771,Fazenda Vilanova,25799,4455,0,0
4772,Feliz,31408,13451,0,0
4773,Flores da Cunha,53356,30430,0,0
4774,Floriano Peixoto,32812,1796,0,0
4775,Fontoura Xavier,19353,10370,1,1
4776,Formigueiro,28268,6715,0,0
4777,Forquetinha,17422,2424,0,0
4778,Fortaleza dos Valos,74415,4356,0,0
4779,Frederico Westphalen,36706,31120,1,0
4780,Garibaldi,59883,34684,0,0
4781,Garruchos,42267,2963,0,0
4782,Gaurama,42172,5580,0,0
4783,General Câmara,18762,8409,0,0
4784,Gentil,67135,1642,1,0
4785,Getúlio Vargas,34152,16240,0,0
4786,Giruá,48599,16151,0,0
4787,Glorinha,41243,7988,0,0
4788,Gramado,54901,35875,1,1
4789,Gramado dos Loureiros,25351,2106,1,1
4790,Gramado Xavier,19318,4297,0,0
4791,Gravataí,42820,279398,1,1
4792,Guabiju,48844,1516,0,0
4793,Guaíba,68641,98043,0,0
4794,Guaporé,34001,25475,1,0
4795,Guarani das Missões,46961,7614,0,0
4796,Harmonia,35168,4812,0,0
4797,Herveiras,19922,3018,0,0
4798,Horizontina,84405,19267,0,0
4799,Hulha Negra,30024,6714,1,0
4800,Humaitá,30293,4788,0,0
4801,Ibarama,20531,4412,1,1
4802,Ibiaçá,47075,4719,0,0
4803,Ibiraiaras,33922,7338,0,0
4804,Ibirapuitã,29111,4027,1,1
4805,Ibirubá,52551,20284,0,0
4806,Igrejinha,49798,36450,0,0
4807,Ijuí,42446,83173,0,0
4808,Ilópolis,25566,4091,,0
4809,Imbé,20405,22309,1,1
4810,Imigrante,76801,3116,0,0
4811,Independência,45611,6228,0,0
4812,Inhacorá,32435,2235,1,0
4813,Ipê,29864,6588,0,0
4814,Ipiranga do Sul,54739,1899,0,0
4815,Iraí,23137,7344,0,0
4816,Itaara,22856,5459,0,0
4817,Itacurubi,26512,3470,0,0
4818,Itapuca,27090,2125,0,0
4819,Itaqui,36770,37757,1,1
4820,Itati,26379,2441,0,0
4821,Itatiba do Sul,17120,3420,0,0
4822,Ivorá,27266,1940,0,0
4823,Ivoti,42392,23880,0,0
4824,Jaboticaba,25581,3848,0,0
4825,Jacuizinho,43708,2679,0,0
4826,Jacutinga,37600,3576,,0
4827,Jaguarão,24959,26869,0,0
4828,Jaguari,23282,10937,1,1
4829,Jaquirana,17759,3773,1,1
4830,Jari,62056,3518,0,0
4831,Jóia,61671,8554,0,0
4832,Júlio de Castilhos,67506,19364,0,0
4833,Lagoa Bonita do Sul,20740,2884,,0
4834,Lagoão,17328,6442,0,0
4835,Lagoa dos Três Cantos,58589,1611,0,0
4836,Lagoa Vermelha,41824,27834,0,0
4837,Lajeado,51129,82951,0,0
4838,Lajeado do Bugre,19110,2561,0,0
4839,Lavras do Sul,33585,7516,0,0
4840,Liberato Salzano,26530,5289,0,0
4841,Lindolfo Collor,49614,5980,0,0
4842,Linha Nova,28231,1708,0,0
4843,Machadinho,32759,5464,1,1
4844,Maçambará,53206,4613,0,0
4845,Mampituba,17811,2990,0,0
4846,Manoel Viana,38077,7291,0,0
4847,Maquiné,17974,6749,,0
4848,Maratá,25836,2680,0,0
4849,Marau,47227,43435,0,0
4850,Marcelino Ramos,25962,4488,0,0
4851,Mariana Pimentel,17088,3881,0,0
4852,Mariano Moro,24561,2054,0,0
4853,Marques de Souza,21853,4024,0,0
4854,Mata,23487,4864,0,0
4855,Mato Castelhano,40974,2538,1,0
4856,Mato Leitão,34596,4456,0,0
4857,Mato Queimado,35649,1665,0,0
4858,Maximiliano de Almeida,26275,4443,,0
4859,Minas do Leão,21970,8045,0,0
4860,Miraguaí,27569,4824,1,0
4861,Montauri,38938,1466,0,0
4862,Monte Alegre dos Campos,20136,3220,1,1
4863,Monte Belo do Sul,30817,2564,0,0
4864,Montenegro,57568,64788,0,0
4865,Mormaço,35419,3056,0,0
4866,Morrinhos do Sul,18521,2979,0,0
4867,Morro Redondo,14014,6546,0,0
4868,Morro Reuter,28815,6344,0,0
4869,Mostardas,28099,12760,0,0
