,Município,PIB_per_capita,População,Capag_real,Capag_predito
446,Tupirama,26430,1860,1,1
447,Tupiratins,11391,2613,1,1
448,Wanderlândia,12089,11631,0,0
449,Xambioá,25166,11561,,0
450,Açailândia,23289,111757,1,1
451,Afonso Cunha,7765,6469,,1
452,Água Doce do Maranhão,6901,12488,,1
453,Alcântara,5880,22083,,1
454,Aldeias Altas,6895,26302,0,1
455,Altamira do Maranhão,7008,8066,1,1
456,Alto Alegre do Maranhão,10020,26839,,1
457,Alto Alegre do Pindaré,5980,31894,1,1
458,Alto Parnaíba,31263,11168,,1
459,Amapá do Maranhão,7446,6918,1,1
460,Amarante do Maranhão,7638,41136,1,1
461,Anajatuba,6692,26614,1,1
462,Anapurus,8464,15566,1,1
463,Apicum-Açu,6388,17063,,1
464,Araguanã,5309,15297,1,1
465,Araioses,5853,46103,,1
466,Arame,7157,32637,,1
467,Arari,8528,29764,1,1
468,Axixá,6127,12076,,1
469,Bacabal,10881,104633,1,1
470,Bacabeira,18224,16855,1,1
471,Bacuri,5320,18508,,1
472,Bacurituba,6258,5617,1,1
473,Balsas,36852,93826,0,0
474,Barão de Grajaú,11089,18714,,1
475,Barra do Corda,8239,87794,1,1
476,Barreirinhas,7851,61828,,1
477,Belágua,6276,7409,1,1
478,Bela Vista do Maranhão,7613,11138,0,1
479,Benedito Leite,7617,5627,,1
480,Bequimão,6082,21260,,1
481,Bernardo do Mearim,8224,6011,,1
482,Boa Vista do Gurupi,6849,9158,1,1
483,Bom Jardim,7607,41435,1,1
484,Bom Jesus das Selvas,8666,33479,1,1
485,Bom Lugar,5564,16148,,1
486,Brejo,8082,36139,1,1
487,Brejo de Areia,6085,9367,1,1
488,Buriti,7090,28557,,1
489,Buriti Bravo,7111,23827,1,1
490,Buriticupu,7822,71723,1,1
491,Buritirana,6460,15393,1,1
492,Cachoeira Grande,5879,9382,1,1
493,Cajapió,4970,11136,0,0
494,Cajari,5351,19307,1,1
495,Campestre do Maranhão,11570,14294,1,1
496,Cândido Mendes,6447,20076,,1
497,Cantanhede,5690,21872,,1
498,Capinzal do Norte,13164,10932,1,1
499,Carolina,13268,24337,1,1
500,Carutapera,7029,23658,,1
501,Caxias,11046,164224,1,1
502,Cedral,6337,10657,1,1
503,Central do Maranhão,5604,8604,1,1
504,Centro do Guilherme,6100,13243,1,1
505,Centro Novo do Maranhão,6852,21399,1,1
506,Chapadinha,8997,79145,,1
507,Cidelândia,8922,14617,,0
508,Codó,7856,122597,,1
509,Coelho Neto,7462,49246,1,1
510,Colinas,9345,41042,1,1
511,Conceição do Lago-Açu,6809,16072,,1
512,Coroatá,7031,65044,1,1
513,Cururupu,7150,32765,1,1
514,Davinópolis,37649,12901,1,1
515,Dom Pedro,9852,23328,,1
516,Duque Bacelar,6820,11296,,1
517,Esperantinópolis,8084,17379,1,1
518,Estreito,23771,41355,1,1
519,Feira Nova do Maranhão,8925,8481,1,1
520,Fernando Falcão,6851,10258,1,1
521,Formosa da Serra Negra,7403,18917,,1
522,Fortaleza dos Nogueiras,12571,12615,1,1
523,Fortuna,6963,15536,,1
524,Godofredo Viana,9853,11672,,1
525,Gonçalves Dias,6743,17924,,1
526,Governador Archer,7202,10793,1,1
527,Governador Edison Lobão,14228,18068,1,1
528,Governador Eugênio Barros,5829,16772,1,1
529,Governador Luiz Rocha,7143,7772,1,1
530,Governador Newton Bello,6599,10211,1,1
531,Governador Nunes Freire,8397,25616,,1
532,Graça Aranha,7094,6263,1,1
533,Grajaú,10913,68876,0,0
534,Guimarães,7015,12063,,1
535,Humberto de Campos,5661,28498,1,1
536,Icatu,5795,26953,1,1
537,Igarapé do Meio,13283,14026,1,1
538,Igarapé Grande,7911,11252,,1
539,Imperatriz,27621,258016,1,1
540,Itaipava do Grajaú,5310,15897,1,1
541,Itapecuru Mirim,8342,67673,1,1
542,Itinga do Maranhão,12384,25932,,1
543,Jatobá,6501,9993,1,1
544,Jenipapo dos Vieiras,5705,16432,,1
545,João Lisboa,9150,23696,0,1
546,Joselândia,6227,16136,1,1
547,Junco do Maranhão,13073,3506,1,1
548,Lago da Pedra,7931,49911,,1
549,Lago do Junco,6410,10808,,1
550,Lago Verde,6517,16199,,1
551,Lagoa do Mato,6973,11235,,1
552,Lago dos Rodrigues,8968,8889,,1
553,Lagoa Grande do Maranhão,6957,11320,,1
554,Lajeado Novo,10049,7496,,1
555,Lima Campos,14459,11867,0,0
556,Loreto,18298,12098,1,1
557,Luís Domingues,7205,6917,1,1
558,Magalhães de Almeida,6274,19620,,1
559,Maracaçumé,8432,21201,,1
560,Marajá do Sena,7624,7810,,1
561,Maranhãozinho,6178,16013,1,1
562,Mata Roma,8804,16679,,1
563,Matinha,6951,23256,1,1
564,Matões,5499,33615,1,1
565,Matões do Norte,4788,16451,,1
566,Milagres do Maranhão,6316,8445,1,1
567,Mirador,9806,21000,1,1
568,Miranda do Norte,19809,28001,,1
569,Mirinzal,6821,14913,1,1
570,Monção,6545,33201,1,1
571,Montes Altos,7178,9209,,1
572,Morros,6451,19292,,1
573,Nina Rodrigues,5079,14264,0,0
574,Nova Colinas,10727,5340,1,1
575,Nova Iorque,8270,4683,1,1
576,Nova Olinda do Maranhão,6408,20774,,1
577,Olho d'Água das Cunhãs,7747,19448,1,1
578,Olinda Nova do Maranhão,6201,14563,1,1
579,Paço do Lumiar,7733,120621,,0
580,Palmeirândia,6301,19661,,1
581,Paraibano,6450,21290,1,1
582,Parnarama,6574,34805,1,1
583,Passagem Franca,7787,18898,,1
584,Pastos Bons,10180,19358,,1
585,Paulino Neves,6487,15901,1,1
586,Paulo Ramos,7161,21015,1,1
587,Pedreiras,15334,39267,,1
588,Pedro do Rosário,5628,24930,1,1
589,Penalva,5606,38203,1,1
590,Peri Mirim,5489,14291,1,1
591,Peritoró,9459,23025,,1
592,Pindaré-Mirim,7942,32815,1,1
593,Pinheiro,9970,82990,1,1
594,Pio XII,7376,21594,,1
595,Pirapemas,6289,18527,1,1
596,Poção de Pedras,8212,18157,,1
597,Porto Franco,22240,23675,1,1
