,Município,Região,UF,Reg_Metropolitana,Mun_Reg_Geog_Imediata,Mun_Reg_Geog_Intermediária,Tipo_Conc_Urbana,Hierarquia_Urbana,Hier_Urbana_princ_categ,Região_rural,Amazônia_Legal,Semiárido,Cid_Região_São_Paulo,PIB_per_capita,VAB_Indústria/Total,VAB_Serviço/Total,VAB_Adm/Total,VAB_Agricultura/Total,Capag_real,Capag_predito
2171,Santana,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro Sub-regional,Não,Sim,Não,9418,0.08824069997563593,0.3600882236023783,0.3950528102038461,0.1566182662181397,1,1
2172,Santanópolis,Nordeste,Bahia,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,5688,0.0518835267766239,0.2579922622683771,0.6344532681734881,0.05565058032987172,1,1
2173,Santa Rita de Cássia,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,7985,0.03372193897669758,0.3642702394262307,0.4203806881706463,0.1816224942822548,1,1
2174,Santa Terezinha,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,7106,0.08245179142766552,0.3077854322197561,0.5210417087020437,0.08869224339203874,1,1
2175,Santo Amaro,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,13628,0.2201452865373375,0.4160538840490968,0.2910949372373292,0.07270310890923766,1,1
2176,Santo Antônio de Jesus,Nordeste,Bahia,Não,Polo,Polo,,Centro Subregional A,Centro Subregional,Região Rural de Metrópole,Não,Não,Não,21629,0.1455165583015161,0.66087725183848,0.1707083939059912,0.02289726344713005,1,1
2177,Santo Estêvão,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,13962,0.2293216260062586,0.4922751631926557,0.2657983561559576,0.01260177916516096,1,1
2178,São Desidério,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,109841,0.06279946356128381,0.1875581101699224,0.04442578416949009,0.7052163580288121,1,1
2179,São Domingos,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,7755,0.08813929811953528,0.3262217031979878,0.4774224458018925,0.108201581027668,1,1
2180,São Félix,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,14138,0.4050572377956793,0.2436722902020332,0.2480698882852325,0.1031907236316666,,1
2181,São Félix do Coribe,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,13999,0.1851883182476376,0.3118185934724302,0.2725228027049755,0.2304653095345909,1,1
2182,São Felipe,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,8870,0.0749592123769339,0.3382784810126582,0.4553023909985935,0.1314542897327707,1,1
2183,São Francisco do Conde,Nordeste,Bahia,Sim,do Entorno,do Entorno,Grande concentração urbana,Integrante de Metrópole,Metrópole,Região Rural de Metrópole,Não,Não,Não,225290,0.5661675257355953,0.3733521419489362,0.05879922812853153,0.001680963907882673,1,1
2184,São Gabriel,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Sim,Não,6153,0.06205194921717285,0.2874613072540487,0.6002332780045758,0.05022654883136692,1,1
2185,São Gonçalo dos Campos,Nordeste,Bahia,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,27516,0.2169637056042189,0.6166431122219114,0.1429758748737308,0.02341493604731124,,1
2186,São José da Vitória,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,8478,0.04997708474280352,0.3221885161825364,0.5263525457759543,0.1014163811352873,1,1
2187,São José do Jacuípe,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,8366,0.05339668394037493,0.357356507182334,0.4642606565650349,0.1249615342007115,1,1
2188,São Miguel das Matas,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,11426,0.0467109545826309,0.4357046285323229,0.3263424079050592,0.1912336632671796,1,1
2189,São Sebastião do Passé,Nordeste,Bahia,Sim,do Entorno,do Entorno,Grande concentração urbana,Integrante de Metrópole,Metrópole,Região Rural de Metrópole,Não,Não,Não,14504,0.2833344037883693,0.3897052314005545,0.2966190400969311,0.0303378529680825,1,1
2190,Sapeaçu,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,9473,0.09503697245632729,0.3810391036197488,0.4072717879169492,0.1166456779360005,1,1
2191,Sátiro Dias,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,10517,0.05256708430239828,0.1910220821767074,0.3652136944506965,0.3911871358191412,1,1
2192,Saubara,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,11133,0.08311165040991896,0.3502434622983463,0.392798805245718,0.1738460820460167,,1
2193,Saúde,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,6536,0.04586071929695,0.3314255471038574,0.5585013416045098,0.06420008369642813,1,1
2194,Seabra,Nordeste,Bahia,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Metrópole,Não,Sim,Não,12018,0.05487522257339941,0.6115635401177411,0.3020601540658838,0.0314968886912789,0,0
2195,Sebastião Laranjeiras,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Sim,Não,7000,0.03612772079884898,0.2567351733787405,0.5232249633706886,0.1838989426998772,1,1
2196,Senhor do Bonfim,Nordeste,Bahia,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Metrópole,Não,Sim,Não,11114,0.09837926294756116,0.5664771607540655,0.3223650238108899,0.01277730519099851,1,1
2197,Serra do Ramalho,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Sim,Não,8923,0.06220800554601079,0.3120422280495524,0.4274761129698285,0.1982661180938602,1,1
2198,Sento Sé,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,22558,0.5638771965758929,0.2091417795128052,0.1794711128833062,0.04750869904046948,1,1
2199,Serra Dourada,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro Sub-regional,Não,Sim,Não,8231,0.06985892961023851,0.3188990692262944,0.4152123327515997,0.1960151250727167,1,1
2200,Serra Preta,Nordeste,Bahia,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,7524,0.08462755778006771,0.3331646547916973,0.4777252318563227,0.1044641542764611,,1
2201,Serrinha,Nordeste,Bahia,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Metrópole,Não,Sim,Não,10814,0.1146703566554258,0.5505982554197763,0.3185165639168086,0.01621356146621501,,1
2202,Serrolândia,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,6977,0.07467924485719767,0.3467089450343606,0.520260892133741,0.05833963371286068,1,1
2203,Simões Filho,Nordeste,Bahia,Sim,do Entorno,do Entorno,Grande concentração urbana,Integrante de Metrópole,Metrópole,Região Rural de Metrópole,Não,Não,Não,43740,0.3047372083793085,0.5873538183057172,0.1065594791808229,0.001349278076813137,1,1
2204,Sítio do Mato,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Sim,Não,7305,0.05184153682525411,0.2167849036743018,0.4858280062718611,0.2455345884365303,1,1
2205,Sítio do Quinto,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Sim,Não,7430,0.05145398563120082,0.3116934656175163,0.5293739308929183,0.1074649332877181,1,1
2206,Sobradinho,Nordeste,Bahia,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,30335,0.709119061201206,0.1267926597076626,0.1376904897726347,0.02639482593846541,1,1
2207,Souto Soares,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,6873,0.04596999380482505,0.3316393869470358,0.5649909765930129,0.05739066414071128,1,1
2208,Tabocas do Brejo Velho,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,12079,0.281333182520831,0.2735738792745919,0.3481808241903254,0.09690457338913396,1,1
2209,Tanhaçu,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,8991,0.0669177789827067,0.3761608657029799,0.4270832131609003,0.1298266055998431,,1
2210,Tanque Novo,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Sim,Não,9531,0.04752696517945561,0.4859754302384712,0.415638465861949,0.05084575649706929,1,1
2211,Tanquinho,Nordeste,Bahia,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,6797,0.05938352586056771,0.3645053307792032,0.4877034113117006,0.0883883825777365,1,1
2212,Taperoá,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,8030,0.04014329759215109,0.2896908117284336,0.4874052900278357,0.1827543594672525,1,1
2213,Tapiramutá,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,6432,0.05249123876276093,0.2707317537711412,0.5473297272588755,0.1294377571232668,,1
2214,Teixeira de Freitas,Nordeste,Bahia,Não,Polo,do Entorno,Média concentração urbana,Centro Subregional A,Centro Subregional,Região Rural de Centro Sub-regional,Não,Não,Não,16319,0.107710195738796,0.6197926122568467,0.2368510663434033,0.03564569132288084,1,1
2215,Teodoro Sampaio,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,9684,0.07153991676125615,0.3984865682936057,0.4516988270904275,0.07825955353764662,1,1
2216,Teofilândia,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,7038,0.06706944173762273,0.3746480198385764,0.5169992137149616,0.04127660432389568,1,1
2217,Teolândia,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11399,0.064784083393504,0.2241321772476018,0.3661025793494287,0.3449750923796637,1,1
2218,Terra Nova,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,8907,0.2510579585335815,0.2515117000490782,0.4440925632691613,0.05331925808632201,,1
2219,Tremedal,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,6818,0.06550278181270042,0.2920400873370424,0.531413014681028,0.1110349804953362,,1
2220,Tucano,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,8924,0.05721344656452809,0.4585935417882173,0.4296422749001784,0.05454593474560197,1,1
2221,Uauá,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,7922,0.05801948921425566,0.3944953627037869,0.4856071660846136,0.06186705142288753,1,1
2222,Ubaíra,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,8477,0.1024334049708598,0.3614742879085352,0.4128736970537777,0.1232124166207319,0,0
2223,Ubaitaba,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11008,0.1200876788887258,0.4554037430583328,0.3814942872040458,0.04300922855739879,,1
2224,Ubatã,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,7204,0.05969964981592889,0.4024703690401365,0.4548576816018676,0.08296107569363384,1,1
2225,Uibaí,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Sim,Não,6406,0.06578362313074818,0.3026959350354543,0.519014298752662,0.1124944419742108,0,0
2226,Umburanas,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,7899,0.1129839904083504,0.3843712532618662,0.46176740249665,0.04087030114958742,1,1
2227,Una,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,13415,0.07128698151543685,0.4073004939128136,0.3044790789104184,0.2169251862497316,0,1
2228,Urandi,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Sim,Não,9687,0.1828772653562487,0.3284842892328152,0.3884097894601141,0.1002218709077709,1,1
2229,Uruçuca,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11066,0.07979462143849164,0.3893588466628322,0.3565927359959598,0.1742491197059607,1,1
2230,Utinga,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,8329,0.05875570630861326,0.3859106966891679,0.4364680882441663,0.1188453984193274,0,0
2231,Valença,Nordeste,Bahia,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Capital Regional,Não,Não,Não,15175,0.1094252434955396,0.5687837089501189,0.2513406021347256,0.07044966983261282,,1
2232,Valente,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Metrópole,Não,Sim,Não,8021,0.1176737023281094,0.3962077037870517,0.4466556371906303,0.03945818890917846,1,1
2233,Várzea da Roça,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,6425,0.07380968882112413,0.3090535264629103,0.5261625892300229,0.0909510938618985,,1
2234,Várzea do Poço,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,9051,0.04869926876342186,0.4659526463152744,0.4243618669638731,0.06095903444151467,1,1
2235,Várzea Nova,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,8308,0.06204034676856075,0.3487920621225194,0.475224947614939,0.1139221003327992,1,1
2236,Varzedo,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,11320,0.1719115458218159,0.265054220710185,0.3166170529449288,0.2463959174994684,1,1
2237,Vera Cruz,Nordeste,Bahia,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,12650,0.1119312321384163,0.5421115500491257,0.2917680776553372,0.05418506333345564,0,0
2238,Vereda,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Não,Não,11485,0.03358987268934762,0.1828957778896641,0.389484283967489,0.3940156800690499,1,1
2239,Vitória da Conquista,Nordeste,Bahia,Não,Polo,Polo,Média concentração urbana,Capital Regional B,Capital Regional,Região Rural de Capital Regional,Não,Sim,Não,20761,0.1470089929937456,0.6539727090715072,0.1819158098920501,0.0171020018911296,0,0
2240,Wagner,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Sim,Não,7355,0.0632048656743788,0.3337815947920169,0.4751978972462483,0.127800360646719,,1
2241,Wanderley,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,10371,0.04899057653294941,0.3007411164190825,0.3829183299522282,0.267341797002814,1,1
2242,Wenceslau Guimarães,Nordeste,Bahia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11512,0.04084587428552244,0.215547703180212,0.3438221297096766,0.3997800961869351,1,1
2243,Xique-Xique,Nordeste,Bahia,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Centro Sub-regional,Não,Sim,Não,8442,0.04484607788531652,0.3695664457593051,0.4597590737496939,0.1258257118948255,1,1
2244,Abadia dos Dourados,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,18353,0.09673919442879131,0.3665020984549652,0.2720085452114014,0.2647333406225557,0,0
2245,Abaeté,Sudeste,Minas Gerais,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro Sub-regional,Não,Não,Não,21286,0.127099030214649,0.4482033023939181,0.2083472921990195,0.2163459959404334,0,0
2246,Abre Campo,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,13938,0.05566176682935282,0.4799376209316429,0.3094348340890057,0.1549542264706732,0,0
2247,Acaiaca,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11080,0.1329937083294206,0.3491172880082637,0.4688468400788807,0.04897173443515823,,0
2248,Açucena,Sudeste,Minas Gerais,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10540,0.2933471637480424,0.2066833445196982,0.3914820916468363,0.1084670612402628,,0
2249,Água Boa,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10181,0.04325751574818,0.3168269774810456,0.4238165289879672,0.2160838897061597,,1
2250,Água Comprida,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,65983,0.04393447220209857,0.2418421319124738,0.1283213759902783,0.5858864402950776,,1
2251,Aguanil,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,13495,0.05652491902622506,0.3455577612927942,0.3957092606136593,0.2021732316372375,,0
2252,Águas Formosas,Sudeste,Minas Gerais,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,12107,0.09538842692526359,0.4985971610422146,0.3610126324839263,0.04500177954859554,1,1
2253,Águas Vermelhas,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,16163,0.04083175235644813,0.4338868003864425,0.2747846283995174,0.2504918131260293,1,1
2254,Aimorés,Sudeste,Minas Gerais,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,18105,0.2742456201757456,0.4007654330084925,0.2554229685168469,0.06956367555219867,0,0
2255,Aiuruoca,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,15378,0.06023890005481455,0.4341197697789147,0.3226064315731774,0.1830120591997076,,0
2256,Alagoa,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,13402,0.07277090320342315,0.2867179368567133,0.4794437377125014,0.1610385104660576,,0
2257,Albertina,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,29485,0.07069183415548942,0.6176634459891014,0.2308152255153764,0.0808023156264014,,0
2258,Além Paraíba,Sudeste,Minas Gerais,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,25797,0.3098519965897071,0.5104578778119881,0.1720629559881182,0.007625990394105806,0,0
2259,Alfenas,Sudeste,Minas Gerais,Não,Polo,do Entorno,,Centro Subregional A,Centro Subregional,Região Rural de Capital Regional,Não,Não,Não,32762,0.1646661872159508,0.61960303773624,0.1496891580789577,0.06604073508525389,1,0
2260,Alfredo Vasconcelos,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,Média concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,13855,0.1105475413169459,0.3411090902929182,0.3316991064469121,0.216621668944794,0,0
2261,Almenara,Sudeste,Minas Gerais,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Não,Sim,Não,12833,0.1278065561629763,0.5049013947673331,0.3424526085692785,0.02483545886372052,,0
2262,Alpercata,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10644,0.09098755276253152,0.4069963453939827,0.4421803568297978,0.05982225938262781,,1
2263,Alpinópolis,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,18048,0.08756171083890239,0.4974798555745838,0.2405893822376206,0.1743629677172085,0,0
2264,Alterosa,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,14738,0.05430343745157727,0.4501876927537101,0.3003034074607245,0.1952004638585232,0,0
2265,Alto Caparaó,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,11685,0.03943735427659836,0.3835439931279911,0.4143299791385446,0.1626579948459934,0,0
2266,Alto Rio Doce,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,15211,0.06162191647978665,0.2602097096793745,0.2823686284017213,0.3957936844657252,1,1
2267,Alvarenga,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,9733,0.05485990079099075,0.3019975868078831,0.5219466416409706,0.1211690575144121,1,1
2268,Alvinópolis,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,17741,0.2656470106120498,0.3799976095141337,0.2583645661695025,0.09598654497955281,1,1
2269,Alvorada de Minas,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,13165,0.04027934219418788,0.2753322820455057,0.5631673800405497,0.1211759405271458,0,0
2270,Amparo do Serra,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,9672,0.04168088640138329,0.3306258958432872,0.513275544331445,0.114394921848338,0,0
2271,Andradas,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,21690,0.1922385486263423,0.5021628611635838,0.2081354513990137,0.09746060321766802,0,0
2272,Cachoeira de Pajeú,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Sim,Não,10437,0.02908376211823422,0.4970077070865446,0.4353289313870548,0.03855751606563169,1,1
2273,Andrelândia,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,19029,0.06924461274569535,0.4960070111634969,0.2394199855652516,0.1953237039189404,,0
2274,Angelândia,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,10268,0.03867568700233491,0.2818775070346644,0.4376339579716219,0.2417889001975693,1,1
2275,Antônio Carlos,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,Média concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,14330,0.2110743081856451,0.3569458557120047,0.3116562636086515,0.1203103762256034,,0
2276,Antônio Dias,Sudeste,Minas Gerais,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,26636,0.3717722455455429,0.3153149539624391,0.2093929103047482,0.103515433501796,0,0
2277,Antônio Prado de Minas,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,14443,0.0416611029509948,0.304357502114212,0.5554368629545555,0.09854453198023769,1,1
2278,Araçaí,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,23704,0.2782507816033191,0.2385512318854828,0.2843856302967143,0.198773030261321,0,0
2279,Aracitaba,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,12021,0.07084910762574365,0.2882223239172942,0.5345092981653284,0.1063776677621999,,0
2280,Araçuaí,Sudeste,Minas Gerais,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Não,Sim,Não,10966,0.09203810685802487,0.5077005198541148,0.3704742847075591,0.02978445907036305,0,0
2281,Araguari,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,Média concentração urbana,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Não,Não,Não,39942,0.4247450977625052,0.3907186185063141,0.1246338463130611,0.05990220221420961,0,0
2282,Arantina,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,17577,0.06412264761785408,0.28124151471479,0.3370303068279132,0.3175637571276396,,0
2283,Araponga,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,9592,0.03817568001232301,0.2590400883149558,0.4377238360525268,0.2650347226679332,0,0
2284,Araporã,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Não,Não,Não,189009,0.7467427160844684,0.1653083462969281,0.04987934149619849,0.03806876997722318,,0
2285,Arapuá,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Não,Não,39981,0.3029939376383687,0.4281413585483437,0.1581386687633196,0.1107156897229521,0,0
2286,Araújos,Sudeste,Minas Gerais,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Não,Não,Não,33338,0.06781295081328045,0.4073172201368878,0.1393724147464458,0.3854903253476247,,0
2287,Araxá,Sudeste,Minas Gerais,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Centro Sub-regional,Não,Não,Não,58774,0.4414867977277738,0.4451242359850457,0.0960667595446166,0.01732183147811974,0,0
