,Município,UF,Capag_real,Capag_predito
383,Mateiros,Tocantins,1,1
384,Maurilândia do Tocantins,Tocantins,,0
385,Miracema do Tocantins,Tocantins,1,1
386,Miranorte,Tocantins,1,1
387,Monte do Carmo,Tocantins,0,0
388,Monte Santo do Tocantins,Tocantins,0,0
389,Palmeiras do Tocantins,Tocantins,1,1
390,Muricilândia,Tocantins,1,1
391,Natividade,Tocantins,1,1
392,Nazaré,Tocantins,1,1
393,Nova Olinda,Tocantins,0,0
394,Nova Rosalândia,Tocantins,0,1
395,Novo Acordo,Tocantins,,1
396,Novo Alegre,Tocantins,1,1
397,Novo Jardim,Tocantins,0,1
398,Oliveira de Fátima,Tocantins,,1
399,Palmeirante,Tocantins,1,1
400,Palmeirópolis,Tocantins,1,1
401,Paraíso do Tocantins,Tocantins,,0
402,Paranã,Tocantins,1,1
403,Pau D'Arco,Tocantins,1,1
404,Pedro Afonso,Tocantins,0,0
405,Peixe,Tocantins,,1
406,Pequizeiro,Tocantins,1,1
407,Colméia,Tocantins,1,1
408,Pindorama do Tocantins,Tocantins,1,1
409,Piraquê,Tocantins,1,1
410,Pium,Tocantins,1,1
411,Ponte Alta do Bom Jesus,Tocantins,1,1
412,Ponte Alta do Tocantins,Tocantins,0,1
413,Porto Alegre do Tocantins,Tocantins,1,1
414,Porto Nacional,Tocantins,1,1
415,Praia Norte,Tocantins,,1
416,Presidente Kennedy,Tocantins,1,1
417,Pugmil,Tocantins,,1
418,Recursolândia,Tocantins,1,1
419,Riachinho,Tocantins,,1
420,Rio da Conceição,Tocantins,1,1
421,Rio dos Bois,Tocantins,1,1
422,Rio Sono,Tocantins,,1
423,Sampaio,Tocantins,0,0
424,Sandolândia,Tocantins,,0
425,Santa Fé do Araguaia,Tocantins,1,1
426,Santa Maria do Tocantins,Tocantins,,1
427,Santa Rita do Tocantins,Tocantins,0,0
428,Santa Rosa do Tocantins,Tocantins,1,1
429,Santa Tereza do Tocantins,Tocantins,,1
430,Santa Terezinha do Tocantins,Tocantins,1,1
431,São Bento do Tocantins,Tocantins,,1
432,São Félix do Tocantins,Tocantins,,1
433,São Miguel do Tocantins,Tocantins,1,1
434,São Salvador do Tocantins,Tocantins,1,1
435,São Sebastião do Tocantins,Tocantins,,1
436,São Valério,Tocantins,1,1
437,Silvanópolis,Tocantins,0,0
438,Sítio Novo do Tocantins,Tocantins,,1
439,Sucupira,Tocantins,0,0
440,Taguatinga,Tocantins,1,1
441,Taipas do Tocantins,Tocantins,1,1
442,Talismã,Tocantins,1,1
443,Palmas,Tocantins,0,0
444,Tocantínia,Tocantins,1,1
445,Tocantinópolis,Tocantins,0,0
446,Tupirama,Tocantins,1,1
447,Tupiratins,Tocantins,1,1
448,Wanderlândia,Tocantins,0,0
449,Xambioá,Tocantins,,1
450,Açailândia,Maranhão,1,1
451,Afonso Cunha,Maranhão,,1
452,Água Doce do Maranhão,Maranhão,,1
453,Alcântara,Maranhão,,1
454,Aldeias Altas,Maranhão,0,1
455,Altamira do Maranhão,Maranhão,1,1
456,Alto Alegre do Maranhão,Maranhão,,1
457,Alto Alegre do Pindaré,Maranhão,1,1
458,Alto Parnaíba,Maranhão,,1
459,Amapá do Maranhão,Maranhão,1,1
460,Amarante do Maranhão,Maranhão,1,1
461,Anajatuba,Maranhão,1,1
462,Anapurus,Maranhão,1,1
463,Apicum-Açu,Maranhão,,1
464,Araguanã,Maranhão,1,1
465,Araioses,Maranhão,,1
466,Arame,Maranhão,,1
467,Arari,Maranhão,1,1
468,Axixá,Maranhão,,1
469,Bacabal,Maranhão,1,1
470,Bacabeira,Maranhão,1,1
471,Bacuri,Maranhão,,1
472,Bacurituba,Maranhão,1,1
473,Balsas,Maranhão,0,0
474,Barão de Grajaú,Maranhão,,1
475,Barra do Corda,Maranhão,1,1
476,Barreirinhas,Maranhão,,1
477,Belágua,Maranhão,1,1
478,Bela Vista do Maranhão,Maranhão,0,1
479,Benedito Leite,Maranhão,,1
480,Bequimão,Maranhão,,1
481,Bernardo do Mearim,Maranhão,,1
482,Boa Vista do Gurupi,Maranhão,1,1
483,Bom Jardim,Maranhão,1,1
484,Bom Jesus das Selvas,Maranhão,1,1
485,Bom Lugar,Maranhão,,1
486,Brejo,Maranhão,1,1
487,Brejo de Areia,Maranhão,1,1
488,Buriti,Maranhão,,1
489,Buriti Bravo,Maranhão,1,1
490,Buriticupu,Maranhão,1,1
491,Buritirana,Maranhão,1,1
492,Cachoeira Grande,Maranhão,1,1
493,Cajapió,Maranhão,0,1
494,Cajari,Maranhão,1,1
495,Campestre do Maranhão,Maranhão,1,1
496,Cândido Mendes,Maranhão,,1
497,Cantanhede,Maranhão,,1
498,Capinzal do Norte,Maranhão,1,1
499,Carolina,Maranhão,1,1
500,Carutapera,Maranhão,,1
501,Caxias,Maranhão,1,1
502,Cedral,Maranhão,1,1
503,Central do Maranhão,Maranhão,1,1
504,Centro do Guilherme,Maranhão,1,1
505,Centro Novo do Maranhão,Maranhão,1,1
506,Chapadinha,Maranhão,,1
507,Cidelândia,Maranhão,,1
508,Codó,Maranhão,,1
509,Coelho Neto,Maranhão,1,1
510,Colinas,Maranhão,1,1
511,Conceição do Lago-Açu,Maranhão,,1
512,Coroatá,Maranhão,1,1
513,Cururupu,Maranhão,1,1
514,Davinópolis,Maranhão,1,1
515,Dom Pedro,Maranhão,,0
516,Duque Bacelar,Maranhão,,1
517,Esperantinópolis,Maranhão,1,1
518,Estreito,Maranhão,1,1
519,Feira Nova do Maranhão,Maranhão,1,1
520,Fernando Falcão,Maranhão,1,1
521,Formosa da Serra Negra,Maranhão,,1
522,Fortaleza dos Nogueiras,Maranhão,1,1
523,Fortuna,Maranhão,,1
524,Godofredo Viana,Maranhão,,1
525,Gonçalves Dias,Maranhão,,1
526,Governador Archer,Maranhão,1,1
527,Governador Edison Lobão,Maranhão,1,1
528,Governador Eugênio Barros,Maranhão,1,1
529,Governador Luiz Rocha,Maranhão,1,1
530,Governador Newton Bello,Maranhão,1,1
531,Governador Nunes Freire,Maranhão,,1
532,Graça Aranha,Maranhão,1,1
533,Grajaú,Maranhão,0,1
534,Guimarães,Maranhão,,1
535,Humberto de Campos,Maranhão,1,1
536,Icatu,Maranhão,1,1
537,Igarapé do Meio,Maranhão,1,1
538,Igarapé Grande,Maranhão,,1
539,Imperatriz,Maranhão,1,1
540,Itaipava do Grajaú,Maranhão,1,1
541,Itapecuru Mirim,Maranhão,1,1
542,Itinga do Maranhão,Maranhão,,1
543,Jatobá,Maranhão,1,1
544,Jenipapo dos Vieiras,Maranhão,,1
545,João Lisboa,Maranhão,0,0
546,Joselândia,Maranhão,1,1
547,Junco do Maranhão,Maranhão,1,1
548,Lago da Pedra,Maranhão,,1
549,Lago do Junco,Maranhão,,1
550,Lago Verde,Maranhão,,1
551,Lagoa do Mato,Maranhão,,1
552,Lago dos Rodrigues,Maranhão,,1
553,Lagoa Grande do Maranhão,Maranhão,,1
554,Lajeado Novo,Maranhão,,1
555,Lima Campos,Maranhão,0,1
556,Loreto,Maranhão,1,1
557,Luís Domingues,Maranhão,1,1
558,Magalhães de Almeida,Maranhão,,1
559,Maracaçumé,Maranhão,,1
560,Marajá do Sena,Maranhão,,1
561,Maranhãozinho,Maranhão,1,1
562,Mata Roma,Maranhão,,1
563,Matinha,Maranhão,1,1
564,Matões,Maranhão,1,1
565,Matões do Norte,Maranhão,,1
566,Milagres do Maranhão,Maranhão,1,1
567,Mirador,Maranhão,1,1
568,Miranda do Norte,Maranhão,,1
569,Mirinzal,Maranhão,1,1
570,Monção,Maranhão,1,1
571,Montes Altos,Maranhão,,1
572,Morros,Maranhão,,1
573,Nina Rodrigues,Maranhão,0,0
574,Nova Colinas,Maranhão,1,1
575,Nova Iorque,Maranhão,1,1
576,Nova Olinda do Maranhão,Maranhão,,1
577,Olho d'Água das Cunhãs,Maranhão,1,1
578,Olinda Nova do Maranhão,Maranhão,1,1
579,Paço do Lumiar,Maranhão,,0
580,Palmeirândia,Maranhão,,1
581,Paraibano,Maranhão,1,1
582,Parnarama,Maranhão,1,1
583,Passagem Franca,Maranhão,,1
584,Pastos Bons,Maranhão,,1
585,Paulino Neves,Maranhão,1,1
586,Paulo Ramos,Maranhão,1,1
587,Pedreiras,Maranhão,,1
588,Pedro do Rosário,Maranhão,1,1
589,Penalva,Maranhão,1,1
590,Peri Mirim,Maranhão,1,1
591,Peritoró,Maranhão,,1
592,Pindaré-Mirim,Maranhão,1,1
593,Pinheiro,Maranhão,1,1
594,Pio XII,Maranhão,,1
595,Pirapemas,Maranhão,1,1
596,Poção de Pedras,Maranhão,,1
597,Porto Franco,Maranhão,1,1
598,Porto Rico do Maranhão,Maranhão,1,1
599,Presidente Dutra,Maranhão,,1
600,Presidente Juscelino,Maranhão,,1
601,Presidente Médici,Maranhão,1,1
602,Presidente Sarney,Maranhão,,1
603,Presidente Vargas,Maranhão,1,1
604,Primeira Cruz,Maranhão,1,1
605,Raposa,Maranhão,,0
606,Riachão,Maranhão,0,0
607,Ribamar Fiquene,Maranhão,0,1
608,Rosário,Maranhão,0,0
609,Sambaíba,Maranhão,,0
610,Santa Filomena do Maranhão,Maranhão,,1
611,Santa Helena,Maranhão,1,1
612,Santa Inês,Maranhão,1,1
613,Santa Luzia,Maranhão,1,1
614,Santa Luzia do Paruá,Maranhão,,1
615,Santa Quitéria do Maranhão,Maranhão,,1
616,Santa Rita,Maranhão,,1
617,Santana do Maranhão,Maranhão,1,1
618,Santo Amaro do Maranhão,Maranhão,1,1
619,Santo Antônio dos Lopes,Maranhão,,1
620,São Benedito do Rio Preto,Maranhão,,1
621,São Bento,Maranhão,,1
622,São Bernardo,Maranhão,1,1
623,São Domingos do Azeitão,Maranhão,,1
624,São Domingos do Maranhão,Maranhão,,1
625,São Félix de Balsas,Maranhão,1,1
626,São Francisco do Brejão,Maranhão,0,1
627,São Francisco do Maranhão,Maranhão,,1
628,São João Batista,Maranhão,,1
629,São João do Carú,Maranhão,1,1
630,São João do Paraíso,Maranhão,1,1
631,São João do Soter,Maranhão,1,1
632,São João dos Patos,Maranhão,0,0
633,São José de Ribamar,Maranhão,0,0
634,São José dos Basílios,Maranhão,1,1
635,São Luís,Maranhão,1,1
636,São Luís Gonzaga do Maranhão,Maranhão,1,1
637,São Mateus do Maranhão,Maranhão,,1
638,São Pedro da Água Branca,Maranhão,,1
639,São Pedro dos Crentes,Maranhão,1,1
640,São Raimundo das Mangabeiras,Maranhão,1,1
641,São Raimundo do Doca Bezerra,Maranhão,,1
642,São Roberto,Maranhão,,1
643,São Vicente Ferrer,Maranhão,1,1
644,Satubinha,Maranhão,,1
645,Senador Alexandre Costa,Maranhão,1,1
646,Senador La Rocque,Maranhão,1,1
647,Serrano do Maranhão,Maranhão,,1
648,Sítio Novo,Maranhão,1,1
649,Sucupira do Norte,Maranhão,1,1
650,Sucupira do Riachão,Maranhão,,1
651,Tasso Fragoso,Maranhão,0,0
652,Timbiras,Maranhão,,1
653,Timon,Maranhão,1,1
654,Trizidela do Vale,Maranhão,,1
655,Tufilândia,Maranhão,,1
656,Tuntum,Maranhão,,1
657,Turiaçu,Maranhão,1,1
658,Turilândia,Maranhão,1,1
659,Tutóia,Maranhão,1,1
660,Urbano Santos,Maranhão,1,1
661,Vargem Grande,Maranhão,,1
662,Viana,Maranhão,1,1
663,Vila Nova dos Martírios,Maranhão,,1
664,Vitória do Mearim,Maranhão,1,1
665,Vitorino Freire,Maranhão,,1
666,Zé Doca,Maranhão,1,1
667,Acauã,Piauí,1,1
668,Agricolândia,Piauí,1,1
669,Água Branca,Piauí,0,0
670,Alagoinha do Piauí,Piauí,1,1
671,Alegrete do Piauí,Piauí,1,1
672,Alto Longá,Piauí,,1
673,Altos,Piauí,1,1
674,Alvorada do Gurguéia,Piauí,1,1
675,Amarante,Piauí,1,1
676,Angical do Piauí,Piauí,1,1
677,Anísio de Abreu,Piauí,,1
678,Antônio Almeida,Piauí,0,0
679,Aroazes,Piauí,,1
680,Aroeiras do Itaim,Piauí,1,1
681,Arraial,Piauí,1,1
682,Assunção do Piauí,Piauí,1,1
683,Avelino Lopes,Piauí,1,1
684,Baixa Grande do Ribeiro,Piauí,1,1
685,Barra D'Alcântara,Piauí,1,1
686,Barras,Piauí,1,1
687,Barreiras do Piauí,Piauí,1,1
688,Barro Duro,Piauí,1,1
689,Batalha,Piauí,1,1
690,Bela Vista do Piauí,Piauí,1,1
691,Belém do Piauí,Piauí,0,0
692,Beneditinos,Piauí,1,1
693,Bertolínia,Piauí,1,1
694,Betânia do Piauí,Piauí,1,1
695,Boa Hora,Piauí,,1
696,Bocaina,Piauí,1,1
697,Bom Jesus,Piauí,1,1
698,Bom Princípio do Piauí,Piauí,,1
699,Bonfim do Piauí,Piauí,0,1
700,Boqueirão do Piauí,Piauí,1,1
701,Brasileira,Piauí,1,1
702,Brejo do Piauí,Piauí,1,1
703,Buriti dos Lopes,Piauí,0,1
704,Buriti dos Montes,Piauí,,1
705,Cabeceiras do Piauí,Piauí,,1
706,Cajazeiras do Piauí,Piauí,1,1
707,Cajueiro da Praia,Piauí,1,1
708,Caldeirão Grande do Piauí,Piauí,1,1
